area,name,from_region,to_region,transition_type,direction,rule,notes
ossex_train,Ossex Train Private Cabin Right Burrow,Ossex Train Private Cabin Right,Ossex Train Private Cabin Left,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex_train,Ossex Train Private Cabin Left Burrow,Ossex Train Private Cabin Left,Ossex Train Private Cabin Right,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex_train,Ossex Train Coupling West Exit,Ossex Train Coupling,Ossex Train Interior,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train, Ossex Train Coupling East Exit,Ossex Train Coupling,Ossex Train Cab,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Ossex Train Cab Left Exit,Ossex Train Cab,Ossex Train Coupling,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex_train,Bayou Stop 2,Ossex Train Cab,Ossex Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""HUBTicket"")",
ossex_train,Bayou Stop 2,Ossex Train Cab,Backwaters Lower Swamp Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""BayouTicket"")",
ossex_train,Sandfalls Stop 2,Ossex Train Cab,Sandfalls Sandy Station,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""BoneBeachTicket"")",
ossex_train,Kindlewood Stop 2,Ossex Train Cab,Kindlewood Farm Crossing,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""SeptemburgTicket"")",
ossex_train,Coltrane Peak Stop 2,Ossex Train Cab,Coltrane Peak Thorne Arena,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""FrozenTrainyardTicket"")",
ossex,,Ossex Station,Ossex Train Caboose,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,"Has(""TrainPass"") & Has(""HUBTicket"")",
ossex,Ossex City Center Main North Gate,Ossex City Center Main,Ossex Courtyard,SCREENS,NORTH,,
ossex,Ossex City Center Main Couple's Quarter Door,Ossex City Center Main,Ossex Couple's Quarter,DOORS,NORTH,,
ossex,Ossex City Center Main Legovich's Arms Door,Ossex City Center Main,Ossex Legovich's Arms,DOORS,NORTH,,
ossex,Ossex City Center Main Emporium Door,Ossex City Center Main,Ossex Emporium,DOORS,NORTH,,
ossex,Ossex City Center Main Kear Institute Door,Ossex City Center Main,Ossex Kear Institute,DOORS,NORTH,,
ossex,Ossex City Center Main Left Transition,Ossex City Center Main,Ossex Bowery Main,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex,Ossex City Center Main Bike Residence Door,Ossex City Center Main,Ossex Bike Residence,DOORS,NORTH,"Has(""SparkUpgrade"", count=2)",
ossex,Ossex City Center Main Guild Hall Door,Ossex City Center Main,Ossex Guild Hall,DOORS,NORTH,,
ossex,Ossex City Center Main Pawnty's Exchange Door,Ossex City Center Main,Ossex Pawnty Exchange,DOORS,NORTH,,
ossex,Ossex City Center Main Right Transition,Ossex City Center Main,Ossex High Street Main,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex,Ossex City Center Main South Gate,Ossex City Center Main,Southern Outskirts Commons Ossex Entry,AREA_SCREENS,SOUTH,,
ossex,,Ossex City Center Upper,Ossex City Center Main,INTERNAL,,,
ossex,,Ossex City Center Exchange,Ossex City Center Main,INTERNAL,,,
ossex,Ossex City Center Upper Left Transition,Ossex City Center Upper,Ossex Bowery Upper,SCREENS,WEST,,
ossex,Ossex City Center Upper Trinket Bazaar Door,Ossex City Center Upper,Ossex Trinket Bazaar,DOORS,NORTH,,
ossex,Ossex City Center Bike Geyser Drop,Ossex City Center Bike,Ossex Gutterways,GEYSER_DOWN,OVERWORLD,CanBurrow(),
ossex,,Ossex City Center Bike,Ossex City Center Main,INTERNAL,,,
ossex,Ossex City Center Bike Residence Burrow,Ossex City Center Bike,Ossex Bike Residence,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Courtyard West Transition,Ossex Courtyard,Ossex Courtyard West,SCREENS,WEST,,
ossex,Ossex Courtyard East Transition,Ossex Courtyard,Ossex Courtyard East,SCREENS,EAST,,
ossex,Ossex Courtyard Mansion Door,Ossex Courtyard,Radiant Manor Foyer,DOORS,NORTH,,
ossex,Ossex Courtyard West East Transition,Ossex Courtyard West,Ossex Courtyard,SCREENS,EAST,,
ossex,Ossex Courtyard West Chest Breakable,Ossex Courtyard West Chest,Ossex Courtyard West,INTERNAL,,,
ossex,Ossex Courtyard East West Transition,Ossex Courtyard East,Ossex Courtyard,SCREENS,WEST,,
ossex,,Ossex Courtyard East,Ossex Courtyard East Gap,INTERNAL,,CanJumpTiles(distance=8),
ossex,,Ossex Courtyard East Gap,Ossex Courtyard East,INTERNAL,,CanJumpTiles(distance=8) | CanBurrow(),
ossex,Ossex Courtyard East Gap East Transition,Ossex Courtyard East Gap,Ossex Courtyard East Manor Side,SCREENS,EAST,,
ossex,,Ossex Courtyard East Manor Side,Ossex Courtyard East Manor Side Garden,INTERNAL,,"HasVialsCount(count=3) & Has(""Ossex East Garden Kear"")",
ossex,,Ossex Courtyard East Manor Side Garden,Ossex Courtyard East Manor Side,INTERNAL,,"HasVialsCount(count=3) & Has(""Ossex East Garden Kear"")",
ossex,Ossex Courtyard East Manor Side Garden Geyser Drop,Ossex Courtyard East Manor Side Garden,Ossex Goddred's Grave,GEYSER_DOWN,OVERWORLD,CanBurrow(),
ossex,Ossex Goddred's Grave Geyser Exit,Ossex Goddred's Grave,Ossex Courtyard East Manor Side Garden,GEYSER_UP,OVERWORLD,CanBurrow(),
ossex, Ossex Goddred's Grave East Transition,Ossex Goddred's Grave,Ossex Goddred's Grave Hall,SCREENS,EAST,,
ossex,Ossex Goddred's Grave Hall West Transition,Ossex Goddred's Grave Hall,Ossex Goddred's Grave,SCREENS,WEST,,
ossex,Ossex Goddred's Grave Hall North Transition,Ossex Goddred's Grave Hall,Ossex Goddred's Grave Arena,SCREENS,NORTH,,
ossex,Ossex Goddred's Grave Arena South Transition,Ossex Goddred's Grave Arena,Ossex Goddred's Grave Hall,SCREENS,SOUTH,,
ossex,Ossex Goddred's Grave Arena North Transition,Ossex Goddred's Grave Arena,Ossex Goddred's Grave End,SCREENS,NORTH,,
ossex, Ossex Goddred's Grave End South Transition,Ossex Goddred's Grave End,Ossex Goddred's Grave Arena,SCREENS,SOUTH,,
ossex, Ossex Goddred's Grave End Tube,Ossex Goddred's Grave End,Ossex Goddred's Grave Hall,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex,Ossex Pawnty Exchange Exit,Ossex Pawnty Exchange,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Couple's Quarter Exit,Ossex Couple's Quarter,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Legovich's Arms Exit,Ossex Legovich's Arms,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Legovich's Arms Geyser Drop,Ossex Legovich's Arms,Ossex Legovich's Arms Basement,GEYSER_DOWN,SOUTH,CanBurrow(),
ossex,Ossex Legovich's Arms Basement Geyser Up,Ossex Legovich's Arms Basement,Ossex Legovich's Arms,GEYSER_UP,NORTH,CanBurrow(),
ossex,Ossex Emporium Exit,Ossex Emporium,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Kear Institute Exit,Ossex Kear Institute,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Guild Hall Exit,Ossex Guild Hall,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Guild Hall North Burrow,Ossex Guild Hall,Ossex Guild Back Room,BURROW,NORTH,CanBurrow(),
ossex,Ossex Guild Back Room South Burrow,Ossex Guild Back Room,Ossex Guild Hall,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Guild Back Room North Burrow,Ossex Guild Back Room,Ossex City Center Main,BURROW,NORTH,CanBurrow(),
ossex,Ossex Bike Residence Door,Ossex Bike Residence,Ossex City Center Main,DOORS,SOUTH,,
ossex,Ossex Bike Residence North Burrow,Ossex Bike Residence,Ossex City Center Bike,SCREENS,NORTH,CanBurrow(),
ossex,Ossex Trinket Bazaar Door,Ossex Trinket Bazaar,Ossex City Center Upper,DOORS,SOUTH,,
ossex,Ossex Bowery Main East Transition,Ossex Bowery Main,Ossex City Center Main,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex,Ossex Bowery Main Station Underside Door,Ossex Bowery Main,Ossex Station Underside Main,DOORS,NORTH,,
ossex,Ossex Bowery Main Tall Residence Door,Ossex Bowery Main,Ossex Bowery Tall Residence,DOORS,NORTH,,
ossex,Ossex Bowery Main Music Hall Door,Ossex Bowery Main,Ossex Music Hall,DOORS,NORTH,CanBurrow(),
ossex,,Ossex Bowery Upper,Ossex Bowery Main,INTERNAL,,,
ossex,Ossex Bowery Upper Exchange Pipe,Ossex Bowery Upper,Ossex City Center Exchange,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex,Ossex Bowery Upper Tall Residence Upper Stairs,Ossex Bowery Upper,Ossex Bowery Tall Residence Upper Top Entrance,STAIRS,NORTH,,
ossex,Ossex Bowery Upper East Transition,Ossex Bowery Upper,Ossex City Center Upper,SCREENS,EAST,,
ossex,Ossex Bowery Upper Begger Residence Door,Ossex Bowery Upper,Ossex Bowery Begger Residence,DOORS,NORTH,,
ossex,Ossex Bowery Upper Station Door,Ossex Bowery Upper,Ossex Station,DOORS,NORTH,,
ossex,Ossex Bowery Upper East Area Transition,Ossex Bowery Upper,Western Wilds Ossex Bridge,AREA_SCREENS,EAST,,
ossex,Ossex Bowery Begger Residence Exit,Ossex Bowery Begger Residence,Ossex Bowery Upper,DOORS,SOUTH,,
ossex,Ossex Bowery Begger Residence North Burrow,Ossex Bowery Begger Residence,Ossex Bowery Begger Residence Back,BURROW,NORTH,CanBurrow(),
ossex,Ossex Bowery Begger Residence Back South Burrow,Ossex Bowery Begger Residence Back,Ossex Bowery Begger Residence,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Bowery Begger Residence Back West Transition,Ossex Bowery Begger Residence Back,Ossex Bowery Begger Residence Back Corner,SCREENS,WEST,,
ossex,Ossex Bowery Begger Residence Back Corner East Transition,Ossex Bowery Begger Residence Back Corner,Ossex Bowery Begger Residence Back,SCREENS,EAST,,
ossex,Ossex Bowery Begger Residence Back Corner South Burrow,Ossex Bowery Begger Residence Back Corner,Ossex Western Wall,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Station South Burrow,Ossex Station,Ossex Station Underside Burrow,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Station Exit,Ossex Station,Ossex Bowery Upper,DOORS,SOUTH,,
ossex,,Ossex Station Underside Burrow,Ossex Station Underside Main,INTERNAL,,CanClimb(),
ossex,Ossex Station Underside Exit,Ossex Station Underside Main,Ossex Bowery Main,DOORS,SOUTH,,
ossex,,Ossex Station Underside Main,Ossex Station Underside Upper,INTERNAL,,CanJumpTiles(distance=4) & HasVialsCount(count=4) & CanClimb(),
ossex,,Ossex Station Underside Burrow,Ossex Station Underside Upper,INTERNAL,,CanClimb() & HasVialsCount(count=4),
ossex,,Ossex Station Underside Upper,Ossex Station Underside Main,INTERNAL,,,
ossex,Ossex Station Underside Upper North Burrow,Ossex Station Underside Upper,Ossex Courtyard West Chest,BURROW,NORTH,CanBurrow(),
ossex,Ossex Music Hall Exit,Ossex Music Hall,Ossex Bowery Main,DOORS,SOUTH,,
ossex,Ossex Bowery Tall Residence Exit,Ossex Bowery Tall Residence,Ossex Bowery Main,DOORS,SOUTH,,
ossex,Ossex Bowery Tall Residence North Transition,Ossex Bowery Tall Residence,Ossex Bowery Tall Residence Upper Main,SCREENS,NORTH,,
ossex,Ossex Bowery Tall Residence Upper Main South Transition,Ossex Bowery Tall Residence Upper Main,Ossex Bowery Tall Residence,SCREENS,SOUTH,,
ossex,,Ossex Bowery Tall Residence Upper Top Entrance,Ossex Bowery Tall Residence Upper Main,INTERNAL,,,
ossex,Ossex Bowery Tall Residence Upper Top Entrance Stair Exit,Ossex Bowery Tall Residence Upper Top Entrance,Ossex Bowery Upper,STAIRS,NORTH,,
ossex,Ossex Bowery Tall Residence Upper Main North Burrow Right,Ossex Bowery Tall Residence Upper Main,Ossex Bowery Tall Residence Storage,BURROW,NORTH,CanBurrow(),
ossex,Ossex Bowery Tall Residence Upper Main North Burrow Left,Ossex Bowery Tall Residence Upper Main,Ossex Bowery Tall Residence Storage,BURROW,NORTH,CanBurrow(),
ossex,Ossex Bowery Tall Residence Storage South Burrow Right,Ossex Bowery Tall Residence Storage,Ossex Bowery Tall Residence Upper Main,BURROW,SOUTH,CanBurrow(),
ossex,Ossex Bowery Tall Residence Storage South Burrow Left,Ossex Bowery Tall Residence Storage,Ossex Bowery Tall Residence Upper Main,BURROW,SOUTH,CanBurrow(),
ossex,Ossex High Street Main  Residence Door,Ossex High Street Main,Ossex High Street Residence,DOORS,NORTH,,
ossex,,Ossex High Street Main,Ossex High Street Balcony,INTERNAL,,"Has(""Ossex Highstreet Balcony Kear"")",
ossex,,Ossex High Street Main,Ossex High Street SE Garden,INTERNAL,,"Has(""Ossex High Street SE Garden Kear"")",
ossex,Ossex High Street Main Strategy Center Door,Ossex High Street Main,Ossex Strategy Center,DOORS,NORTH,"Has(""SparkUpgrade"", count=1)",
ossex,Ossex High Street Main Atelier Door,Ossex High Street Main,Ossex Atelier,DOORS,NORTH,"Has(""SparkUpgrade"", count=2)",
ossex,Ossex High Street Main East Area Transition,Ossex High Street Main,Eastern Hearth Grassland,AREA_SCREENS,EAST,,
ossex,,Ossex High Street Balcony,Ossex High Street Main,INTERNAL,,"Has(""Ossex Highstreet Balcony Kear"")",
ossex,Ossex High Street Balcony North Ossex Balcony East,Ossex High Street Balcony,Ossex Balcony East,SCREENS,NORTH,,
ossex,Ossex Balcony East South Ossex High Steet Balcony,Ossex Balcony East,Ossex High Street Balcony,SCREENS,SOUTH,,
ossex,Ossex Balcony East West Ossex Balcony West,Ossex Balcony East,Ossex Balcony West,SCREENS,WEST,,
ossex,Ossex Balcony West East Ossex Balcony East,Ossex Balcony West,Ossex Balcony East,SCREENS,EAST,,
ossex,Ossex Balcony West Overworld Ossex High Street Residence Upper,Ossex Balcony West,Ossex High Street Residence Upper Puzzle,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex,,Ossex Balcony West,Ossex City Center Main,INTERNAL,,CanBurrow(),
ossex,,Ossex High Street SE Garden,Ossex High Street Main,INTERNAL,,"Has(""Ossex High Street SE Garden Kear"")",
ossex,,Ossex High Street SE Garden,Ossex High Street SE Garden Sewer,INTERNAL,,CanSwim(),
ossex,Ossex High Street SE Garden Nose Bridge,Ossex High Street SE Garden,Ossex Eastern Wall,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex,Ossex High Street SE Garden Sewer North Burrow,Ossex High Street SE Garden Sewer,Ossex High Street Sewer,BURROW,NORTH,CanSwim(),
ossex,Ossex High Street Sewer South Burrow,Ossex High Street Sewer,Ossex High Street SE Garden Sewer,BURROW,SOUTH,CanSwim(),
ossex,Ossex High Street Sewer Geyser Up,Ossex High Street Sewer,Ossex High Street Main,GEYSER_UP,NORTH,CanBurrow(),
ossex,Ossex High Street Residence Exit,Ossex High Street Residence,Ossex High Street Main,DOORS,SOUTH,,
ossex,Ossex High Street Residence North Transition,Ossex High Street Residence,Ossex High Street Residence Upper Main,SCREENS,NORTH,,
ossex,,Ossex High Street Residence Mirror,Ossex High Street Residence,INTERNAL,,CanClimb(),
ossex,Ossex High Street Residence Mirror Mirror,Ossex High Street Residence Mirror,Astral Orrery Starry Mirror Room,MIRRORS,OVERWORLD,,
ossex,Ossex High Street Residence Upper Main South Transition,Ossex High Street Residence Upper Main,Ossex High Street Residence,SCREENS,SOUTH,,
ossex,Ossex High Street Residence Upper Puzzle South Drop,Ossex High Street Residence Upper Puzzle,Ossex High Street Residence,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,,
ossex,Ossex High Street Residence Upper Puzzle Stairs,Ossex High Street Residence Upper Puzzle,Ossex High Street Residence Balcony East,STAIRS,NORTH,,
ossex,Ossex High Street Residence Balcony East Stairs,Ossex High Street Residence Balcony East,Ossex High Street Residence Upper Puzzle,STAIRS,NORTH,,
ossex,Ossex High Street Residence Balcony East West Transition,Ossex High Street Residence Balcony East,Ossex High Street Residence Balcony West,SCREENS,WEST,,
ossex,Ossex High Street Residence Balcony West East Transition,Ossex High Street Residence Balcony West,Ossex High Street Residence Balcony East,SCREENS,EAST,,
ossex,Ossex High Street Residence Balcony West Drop,Ossex High Street Residence Balcony West,Ossex City Center Main,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBurrow(),
ossex,Ossex Strategy Center Exit,Ossex Strategy Center,Ossex High Street Main,DOORS,SOUTH,,
ossex,Ossex Atelier Exit,Ossex Atelier,Ossex High Street Main,DOORS,SOUTH,,
ossex,Ossex Gutterways Geyser Up ,Ossex Gutterways,Ossex City Center Bike,GEYSER_UP,NORTH,CanBurrow(),
southern_outskirts,Ossex South Eastern Wall,Ossex South Eastern Wall,Ossex Eastern Wall,SCREENS,NORTH,,
southern_outskirts,Ossex South Eastern Wall West Transition,Ossex South Eastern Wall,Ossex Entry Eastern Wall,SCREENS,WEST,,
southern_outskirts,Ossex Entry Eastern Wall East Transition,Ossex Entry Eastern Wall,Ossex South Eastern Wall,SCREENS,EAST,,
southern_outskirts,Ossex Entry Eastern Wall West Transition,Ossex Entry Eastern Wall,Ossex Entry Eastern Wall Chest,SCREENS,WEST,,
southern_outskirts,,Ossex Entry Eastern Wall Chest,Southern Outskirts Commons Ossex Entry,INTERNAL,,,
southern_outskirts,Ossex Entry Eastern Wall Chest East Transition,Ossex Entry Eastern Wall Chest,Ossex Entry Eastern Wall,SCREENS,EAST,,
southern_outskirts,Ossex Western Wall North Burrow,Ossex Western Wall,Ossex Bowery Begger Residence Back Corner,BURROW,NORTH,CanBurrow(),
southern_outskirts,,Ossex Western Wall,Western Wilds Overgrown Path,INTERNAL,,,
southern_outskirts,Ossex Western Wall South Burrow,Ossex Western Wall,Ossex South Western Wall,BURROW,SOUTH,CanBurrow(),
southern_outskirts,Ossex South Western Wall North Burrow,Ossex South Western Wall,Ossex Western Wall,BURROW,NORTH,CanBurrow(),
southern_outskirts,Ossex South Western Wall East Transition,Ossex South Western Wall,Ossex Entry Western Wall Left,SCREENS,EAST,,
southern_outskirts,,Ossex South Western Wall,Southern Outskirts Commons Western Pit Room Main,INTERNAL,,CanClimb(),
southern_outskirts,Ossex Entry Western Wall West Transition,Ossex Entry Western Wall Left,Ossex South Western Wall,SCREENS,WEST,,
southern_outskirts,,Ossex Entry Western Wall Left,Ossex Entry Western Wall Right,INTERNAL,,CanBurrow() & CanBounce(),
southern_outskirts,,Ossex Entry Western Wall Right,Ossex Entry Western Wall Left,INTERNAL,,CanBurrow() & CanBounce(),
southern_outskirts,Ossex Entry Western Wall Right East Transition,Ossex Entry Western Wall Right,Ossex Entry Western Wall Chest,SCREENS,EAST,,
southern_outskirts,Ossex Entry Western Wall Chest East Transition,Ossex Entry Western Wall Chest,Ossex Entry Western Wall Right,SCREENS,WEST,,
southern_outskirts,Ossex Entry Western Wall Chest Rope,Ossex Entry Western Wall Chest,Southern Outskirts Commons Ossex Entry,INTERNAL,,CanClimb(),
southern_outskirts,Southern Outskirts Commons Ossex Entry North Gate,Southern Outskirts Commons Ossex Entry,Ossex City Center Main,AREA_SCREENS,SOUTH,,
southern_outskirts,Southern Outskirts Commons Ossex Entry South Transition,Southern Outskirts Commons Ossex Entry,Southern Outskirts Commons Main,SCREENS,SOUTH,,
southern_outskirts,Southern Outskirts Commons Ossex Entry East Transitions,Southern Outskirts Commons Ossex Entry,Southern Outskirts Commons East Ossex,SCREENS,EAST,,
southern_outskirts,Southern Outskirts Commons Ossex Entry West Transitions,Southern Outskirts Commons Ossex Entry,Southern Outskirts Commons West Ossex,SCREENS,WEST,,
southern_outskirts,Southern Outskirts Commons Main North Transition,Southern Outskirts Commons Main,Southern Outskirts Commons Ossex Entry,SCREENS,NORTH,,
southern_outskirts,Southern Outskirts Commons Main Residence Door,Southern Outskirts Commons Main,Southern Outskirts Residence Main,DOORS,NORTH,,
southern_outskirts,Southern Outskirts Commons Main South Transition,Southern Outskirts Commons Main,Loner's Landing Boardwalk Spike Gate,AREA_SCREENS,SOUTH,,
southern_outskirts,,Southern Outskirts Commons Main,Southern Outskirts Commons Cave Entrance,INTERNAL,,CanBounce(),
southern_outskirts,Southern Outskirts Commons Main East Transition,Southern Outskirts Commons Main,Southern Outskirts Commons Southern Pit Room Main,SCREENS,EAST,,
southern_outskirts,,Southern Outskirts Commons Main,Southern Outskirts Commons Burned,INTERNAL,,CanJumpTiles(distance=4),
southern_outskirts,,Southern Outskirts Commons Main,Southern Outskirts Rebel Rooftop,INTERNAL,,"Has(""Southern Outskirts Rooftop Kear"")",
southern_outskirts,Southern Outskirts Commons Cave Entrance Stairs,Southern Outskirts Commons Cave Entrance,Southern Outskirts Cave Network Main,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Commons Cave Entrance,Southern Outskirts Commons Main,INTERNAL,,CanBounce(),
southern_outskirts,,Southern Outskirts Commons Upper,Southern Outskirts Commons Burned,INTERNAL,,,
southern_outskirts,Southern Outskirts Commons Upper North Transition,Southern Outskirts Commons Upper,Southern Outskirts Commons East Ossex,DO_NOT_RANDOMIZE_ENTRANCE,OVERWORLD,CanBounce(),
southern_outskirts,Southern Outskirts Commons Upper Stairs,Southern Outskirts Commons Upper,Southern Outskirts Cave Network End,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Commons Burned,Southern Outskirts Commons Main,INTERNAL,,,
southern_outskirts,,Southern Outskirts Commons Burned,Southern Outskirts Commons Cliff,INTERNAL,,CanBurrow() & CanBounce(),
southern_outskirts,,Southern Outskirts Commons Cliff,Southern Outskirts Commons Main,INTERNAL,,CanClimb(),
southern_outskirts,Southern Outskirts Commons Cliff South Burrow,Southern Outskirts Commons Cliff,Southern Outskirts Poppit,BURROW,SOUTH,,
southern_outskirts,Southern Outskirts Commons Cliff Mining Stairs,Southern Outskirts Commons Cliff,Southern Outskirts Mining Passage Entrance,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Rebel Rooftop,Southern Outskirts Commons Main,INTERNAL,,,
southern_outskirts,Southern Outskirts Rebel Rooftop Barracks Door,Southern Outskirts Rebel Rooftop,Southern Outskirts Rebel Barracks,DOORS,NORTH,HasVialsCount(count=1),
southern_outskirts,Southern Outskirts Rebel Barracks Exit,Southern Outskirts Rebel Barracks,Southern Outskirts Rebel Rooftop,DOORS,SOUTH,HasVialsCount(count=1),
southern_outskirts,Southern Outskirts Rebel Barracks West Transition,Southern Outskirts Rebel Barracks,Southern Outskirts Rebel Barracks Prison East,SCREENS,WEST,,
southern_outskirts,Southern Outskirts Rebel Barracks North Southern Outskirts Rebel Barracks Gauntlet,Southern Outskirts Rebel Barracks,Southern Outskirts Rebel Barracks Gauntlet,SCREENS,NORTH,,
southern_outskirts,Southern Outskirts Rebel Barracks Prison East East Transition,Southern Outskirts Rebel Barracks Prison East,Southern Outskirts Rebel Barracks,SCREENS,EAST,,
southern_outskirts,Southern Outskirts Rebel Barracks Gauntlet South Transition East,Southern Outskirts Rebel Barracks Gauntlet,Southern Outskirts Rebel Barracks,SCREENS,SOUTH,,
southern_outskirts,Southern Outskirts Rebel Barracks Gauntlet South Southern West,Southern Outskirts Rebel Barracks Gauntlet,Southern Outskirts Rebel Barracks Prison Drop,SCREENS,SOUTH,,
southern_outskirts,,Southern Outskirts Rebel Barracks Prison Drop,Southern Outskirts Rebel Barracks Prison,INTERNAL,,,
southern_outskirts,Southern Outskirts Rebel Barracks Prison Stairs,Southern Outskirts Rebel Barracks Prison,Southern Outskirts Rebel Barracks Companion Start,STAIRS,NORTH,,
southern_outskirts,Southern Outskirts Rebel Barracks Companion Stairs,Southern Outskirts Rebel Barracks Companion Start,Southern Outskirts Rebel Barracks Prison,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Rebel Barracks Companion Start,Southern Outskirts Rebel Barracks Companion End,INTERNAL,,CanBurrow(),
southern_outskirts,Southern Outskirts Rebel Barracks Companion End Stairs,Southern Outskirts Rebel Barracks Companion End,Southern Outskirts Rebel Barracks Fight,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Rebel Barracks Companion End,Southern Outskirts Rebel Barracks Companion Start,INTERNAL,,CanBurrow(),
southern_outskirts,Southern Outskirts Rebel Barracks Fight Stairs,Southern Outskirts Rebel Barracks Fight,Southern Outskirts Rebel Barracks Companion End,STAIRS,NORTH,,
southern_outskirts,Southern Outskirts Rebel Barracks Fight Exit Stairs,Southern Outskirts Rebel Barracks Fight,Southern Outskirts Commons Rebel Exit,STAIRS,NORTH,,
southern_outskirts,,Southern Outskirts Commons Rebel Exit,Southern Outskirts Rebel Rooftop,INTERNAL,,CanClimb(),
southern_outskirts,Southern Outskirts Commons East Ossex West Transition,Southern Outskirts Commons East Ossex,Southern Outskirts Commons Ossex Entry,SCREENS,WEST,,
southern_outskirts,Southern Outskirts Commons East Ossex East Transition,Southern Outskirts Commons East Ossex,Southern Outskirts Moonbath,SCREENS,EAST,,
southern_outskirts,Southern Outskirts Commons West Ossex East Transition,Southern Outskirts Commons West Ossex,Southern Outskirts Commons Ossex Entry,SCREENS,EAST,,
